GCAM_commodity,GCAM_region_ID,iso,Nfixkg,totval,Nfixkg.yld
Corn,1,pri,0,10184,0
Corn,1,usa,0,4844790400,0
Corn,2,bdi,0,2307307,0
Corn,2,com,0,81371,0
Corn,2,dji,0,207,0
Corn,2,eri,0,224033,0
Corn,2,eth,0,123605276,0
Corn,2,ken,0,49014760,0
Corn,2,mdg,0,5437904,0
Corn,2,mus,0,7143,0
Corn,2,rwa,0,2997944,0
Corn,2,som,0,3037187,0
Corn,2,uga,0,25225160,0
Corn,3,dza,0,17702,0
Corn,3,egy,0,116553736,0
Corn,3,mar,0,3044271,0
Corn,4,ago,0,10815561,0
Corn,4,bwa,0,209656,0
Corn,4,lso,0,1821806,0
Corn,4,moz,0,24734128,0
Corn,4,mwi,0,42439299,0
Corn,4,nam,0,745931,0
Corn,4,swz,0,1538036,0
Corn,4,zmb,0,24287659,0
Corn,4,zwe,0,23668010,0
Corn,5,ben,0,14953839,0
Corn,5,bfa,0,12443515,0
Corn,5,caf,0,2148127,0
Corn,5,cmr,0,19738302,0
Corn,5,cog,0,160899,0
Corn,5,cpv,0,184105,0
Corn,5,gab,0,572383,0
Corn,5,gha,0,23058600,0
Corn,5,gin,0,7704749,0
Corn,5,gmb,0,505059,0
Corn,5,gnb,0,368970,0
Corn,5,mli,0,12031032,0
Corn,5,mrt,0,209637,0
Corn,5,ner,0,130984,0
Corn,5,nga,0,113034280,0
Corn,5,sen,0,3439673,0
Corn,5,sle,0,419161,0
Corn,5,stp,0,51310,0
Corn,5,tcd,0,2862013,0
Corn,5,tgo,0,9521288,0
Corn,6,aus,0,6422112,0
Corn,6,nzl,0,3485904,0
Corn,7,bra,0,784560010,0
Corn,8,can,0,168454000,0
Corn,9,bhs,0,6742,0
Corn,9,blz,0,714391,0
Corn,9,brb,0,6974,0
Corn,9,cri,0,349523,0
Corn,9,cub,0,5210363,0
Corn,9,dma,0,4160,0
Corn,9,dom,0,631384,0
Corn,9,grd,0,6218,0
Corn,9,gtm,0,22390351,0
Corn,9,hnd,0,9744936,0
Corn,9,hti,0,4113695,0
Corn,9,jam,0,42131,0
Corn,9,msr,0,1430,0
Corn,9,nic,0,7726757,0
Corn,9,pan,0,1606816,0
Corn,9,slv,0,12355899,0
Corn,9,tto,0,72258,0
Corn,9,vct,0,16832,0
Corn,10,arm,0,226647,0
Corn,10,aze,0,2054325,0
Corn,10,geo,0,6422876,0
Corn,10,kaz,0,6256184,0
Corn,10,kgz,0,6761474,0
Corn,10,tjk,0,1730699,0
Corn,10,tkm,0,391368,0
Corn,10,uzb,0,3308158,0
Corn,11,chn,0,2544568391,0
Corn,12,bgr,0,25521564,0
Corn,12,cze,0,19165730,0
Corn,12,hun,0,120140500,0
Corn,12,ltu,0,303600,0
Corn,12,pol,0,26427294,0
Corn,12,rom,0,164073602,0
Corn,12,svk,0,15238727,0
Corn,12,svn,0,5578606,0
Corn,13,aut,0,33545780,0
Corn,13,bel,0,16928842,0
Corn,13,deu,0,68252610,0
Corn,13,dnk,0,75100,0
Corn,13,esp,0,70844916,0
Corn,13,fra,0,268891897,0
Corn,13,grc,0,39747986,0
Corn,13,ita,0,172088193,0
Corn,13,lux,0,32053,0
Corn,13,nld,0,3564054,0
Corn,13,prt,0,13842914,0
Corn,14,blr,0,4707937,0
Corn,14,ukr,0,140715600,0
Corn,15,alb,0,4323673,0
Corn,15,bih,0,14059876,0
Corn,15,hrv,0,35282710,0
Corn,15,mne,0,59691,0
Corn,15,scg,0,61443690,0
Corn,15,srb,0,39695332,0
Corn,15,tur,0,56157000,0
Corn,16,che,0,3267026,0
Corn,17,ind,0,270056700,0
Corn,18,idn,0,223136912,0
Corn,19,jpn,0,3321,0
Corn,20,mex,0,361768654,0
Corn,21,are,0,3779,0
Corn,21,irq,0,4583866,0
Corn,21,isr,0,1398109,0
Corn,21,jor,0,278225,0
Corn,21,kwt,0,80371,0
Corn,21,lbn,0,70576,0
Corn,21,qat,0,21461,0
Corn,21,sau,0,1342780,0
Corn,21,syr,0,3970043,0
Corn,21,yem,0,1036816,0
Corn,22,pak,0,46423110,0
Corn,23,rus,0,112787168,0
Corn,24,zaf,0,175327886,0
Corn,25,guf,0,4597,0
Corn,25,guy,0,76230,0
Corn,25,sur,0,1367,0
Corn,26,chl,0,20199053,0
Corn,26,ecu,0,13027015,0
Corn,26,per,0,22399861,0
Corn,26,pry,0,27448059,0
Corn,26,ury,0,4490963,0
Corn,27,afg,0,5468120,0
Corn,27,bgd,0,7624747,0
Corn,27,btn,0,1256823,0
Corn,27,lka,0,1222975,0
Corn,27,mdv,0,1331,0
Corn,27,npl,0,29414054,0
Corn,29,fji,0,16812,0
Corn,29,gum,0,563,0
Corn,29,khm,0,6493151,0
Corn,29,lao,0,8109674,0
Corn,29,mmr,0,14190621,0
Corn,29,mys,0,1026616,0
Corn,29,ncl,0,65665,0
Corn,29,phl,0,97193978,0
Corn,29,png,0,135793,0
Corn,29,tha,0,78635110,0
Corn,29,vnm,0,56129782,0
Corn,29,vut,0,14996,0
Corn,31,arg,0,306666537,0
Corn,32,col,0,24610768,0
Corn,NA,NA,0,201891340,0
FiberCrop,1,usa,0,176872140,0
FiberCrop,2,bdi,0,60291,0
FiberCrop,2,eth,0,2897954,0
FiberCrop,2,ken,0,824840,0
FiberCrop,2,mdg,0,795082,0
FiberCrop,2,mus,0,1462,0
FiberCrop,2,som,0,121632,0
FiberCrop,2,uga,0,1163604,0
FiberCrop,3,dza,0,1035,0
FiberCrop,3,egy,0,11262248,0
FiberCrop,3,mar,0,48108,0
FiberCrop,3,tun,0,43355,0
FiberCrop,4,ago,0,119936,0
FiberCrop,4,bwa,0,40899,0
FiberCrop,4,moz,0,2176631,0
FiberCrop,4,mwi,0,1140874,0
FiberCrop,4,nam,0,36201,0
FiberCrop,4,swz,0,150820,0
FiberCrop,4,zmb,0,1892696,0
FiberCrop,4,zwe,0,4550558,0
FiberCrop,5,ben,0,5966878,0
FiberCrop,5,bfa,0,7964138,0
FiberCrop,5,caf,0,318305,0
FiberCrop,5,cmr,0,3819538,0
FiberCrop,5,gha,0,471341,0
FiberCrop,5,gin,0,722922,0
FiberCrop,5,gmb,0,11024,0
FiberCrop,5,gnb,0,84469,0
FiberCrop,5,gnq,0,6919,0
FiberCrop,5,mli,0,7677837,0
FiberCrop,5,ner,0,176935,0
FiberCrop,5,nga,0,7356710,0
FiberCrop,5,sen,0,611576,0
FiberCrop,5,tcd,0,2868663,0
FiberCrop,5,tgo,0,1968591,0
FiberCrop,6,aus,0,24813642,0
FiberCrop,6,nzl,0,50785,0
FiberCrop,7,bra,0,52730430,0
FiberCrop,8,can,0,841982,0
FiberCrop,9,cri,0,31037,0
FiberCrop,9,cub,0,105263,0
FiberCrop,9,dom,0,6183,0
FiberCrop,9,grd,0,698,0
FiberCrop,9,gtm,0,99614,0
FiberCrop,9,hnd,0,42294,0
FiberCrop,9,hti,0,144857,0
FiberCrop,9,jam,0,5411,0
FiberCrop,9,kna,0,65,0
FiberCrop,9,msr,0,464,0
FiberCrop,9,nic,0,154861,0
FiberCrop,9,slv,0,76085,0
FiberCrop,10,aze,0,2019351,0
FiberCrop,10,kaz,0,5834980,0
FiberCrop,10,kgz,0,1629856,0
FiberCrop,10,tjk,0,7274180,0
FiberCrop,10,tkm,0,15783032,0
FiberCrop,10,uzb,0,61886322,0
FiberCrop,11,chn,0,314602346,0
FiberCrop,12,bgr,0,93376,0
FiberCrop,12,cze,0,382770,0
FiberCrop,12,est,0,1723,0
FiberCrop,12,hun,0,12556,0
FiberCrop,12,ltu,0,67860,0
FiberCrop,12,lva,0,17502,0
FiberCrop,12,pol,0,53817,0
FiberCrop,12,rom,0,97736,0
FiberCrop,12,svk,0,11384,0
FiberCrop,13,aut,0,60138,0
FiberCrop,13,bel,0,499610,0
FiberCrop,13,esp,0,4583146,0
FiberCrop,13,fra,0,1775712,0
FiberCrop,13,gbr,0,377442,0
FiberCrop,13,grc,0,19875539,0
FiberCrop,13,ita,0,24076,0
FiberCrop,13,nld,0,495869,0
FiberCrop,14,blr,0,753724,0
FiberCrop,14,ukr,0,196664,0
FiberCrop,15,alb,0,14750,0
FiberCrop,15,hrv,0,21,0
FiberCrop,15,scg,0,2231,0
FiberCrop,15,tur,0,40393405,0
FiberCrop,17,ind,0,210589770,0
FiberCrop,18,idn,0,97331,0
FiberCrop,19,jpn,0,1,0
FiberCrop,20,mex,0,8788470,0
FiberCrop,21,irq,0,742782,0
FiberCrop,21,isr,0,1140823,0
FiberCrop,21,syr,0,14591376,0
FiberCrop,21,yem,0,420343,0
FiberCrop,22,pak,0,102870130,0
FiberCrop,23,rus,0,1773410,0
FiberCrop,24,zaf,0,1155297,0
FiberCrop,26,chl,0,119872,0
FiberCrop,26,ecu,0,681658,0
FiberCrop,26,per,0,2799690,0
FiberCrop,26,pry,0,3161057,0
FiberCrop,26,ury,0,4,0
FiberCrop,27,afg,0,852223,0
FiberCrop,27,bgd,0,17176188,0
FiberCrop,27,btn,0,6578,0
FiberCrop,27,lka,0,0,NaN
FiberCrop,27,npl,0,300084,0
FiberCrop,29,khm,0,16079,0
FiberCrop,29,lao,0,229899,0
FiberCrop,29,mmr,0,4243990,0
FiberCrop,29,phl,0,1433960,0
FiberCrop,29,tha,0,586159,0
FiberCrop,29,vnm,0,2055141,0
FiberCrop,31,arg,0,11656690,0
FiberCrop,32,col,0,2319145,0
FiberCrop,NA,NA,0,17742110,0
FodderHerb,2,eri,212036.73104804743,62917,3.370102373731224
FodderHerb,2,eth,8685674.140283123,5011694,1.7330814970513209
FodderHerb,3,dza,10793.60543056398,2134,5.0579219449690624
FodderHerb,3,egy,86203.05486440344,30458,2.8302270294964686
FodderHerb,3,mar,419890.8210373031,132536,3.1681265545761383
FodderHerb,3,tun,9981.043411127523,3385,2.94860957492689
FodderHerb,6,aus,1777473.2520515586,438162,4.056657702063526
FodderHerb,12,bgr,54829.46130230494,9068,6.046477867479592
FodderHerb,12,cyp,4649.866040091012,1518,3.063152859084988
FodderHerb,12,cze,8703.5344182262,4916,1.7704504512258339
FodderHerb,12,hun,7660.47849852071,676,11.332068784793949
FodderHerb,12,ltu,534313.3873917229,103900,5.142573507138815
FodderHerb,12,lva,67421.01043712713,10895,6.188252449483904
FodderHerb,12,mlt,35022.46743146288,13241,2.6450016940912984
FodderHerb,12,pol,222162.20929163904,59330,3.7445172643121363
FodderHerb,12,svk,25094.179426727413,5268,4.7635116603506855
FodderHerb,13,aut,133870.2771881395,23945,5.590740329427417
FodderHerb,13,esp,5970093.9735883055,1598843,3.734008888670311
FodderHerb,13,grc,556874.9439751244,178890,3.1129461902572775
FodderHerb,13,ita,377423.65742533666,135006,2.7956065465633873
FodderHerb,13,swe,327500,6550,50
FodderHerb,14,blr,4070762.278534594,684098,5.950554275169046
FodderHerb,14,ukr,4394165.926093625,1369300,3.2090600497287847
FodderHerb,15,alb,86291.00304490223,31602,2.730555124514342
FodderHerb,15,bih,65665.43003420794,21267,3.087667749762916
FodderHerb,15,hrv,114602.1332549848,37163,3.083769697144601
FodderHerb,15,scg,1209591.298250784,256755,4.711072026837973
FodderHerb,15,srb,1441432.736048378,198788,7.2511053788376465
FodderHerb,15,tur,7336540.857679738,2509607,2.923382369303137
FodderHerb,20,mex,1954434.3427420727,1940182,1.0073458792742498
FodderHerb,21,irq,57776.763706776284,20070,2.878762516530956
FodderHerb,21,jor,84226.2533109013,29868,2.8199495550723617
FodderHerb,21,lbn,221046.2748186651,64209,3.4426057845265476
FodderHerb,21,syr,1299465.9259499891,402573,3.227901339508584
FodderHerb,23,rus,18362014.831480265,11201368,1.6392653853958075
FodderHerb,NA,NA,285162.5523751354,164338,1.7352198053714627
Fruits,1,pri,0,1906436,0
Fruits,1,usa,0,537018834,0
Fruits,2,bdi,0,28915485,0
Fruits,2,com,0,1096668,0
Fruits,2,eth,0,20478340,0
Fruits,2,ken,0,38925688,0
Fruits,2,mdg,0,17666925,0
Fruits,2,mus,0,276789,0
Fruits,2,rwa,0,4920547,0
Fruits,2,som,0,1638092,0
Fruits,2,uga,0,10654086,0
Fruits,3,dza,0,47944583,0
Fruits,3,egy,0,158022877,0
Fruits,3,mar,0,48381125,0
Fruits,3,tun,0,22520355,0
Fruits,4,ago,0,20832845,0
Fruits,4,bwa,0,11287,0
Fruits,4,moz,0,4591800,0
Fruits,4,mwi,0,6530305,0
Fruits,4,nam,0,304369,0
Fruits,4,swz,0,1846808,0
Fruits,4,zmb,0,1475514,0
Fruits,4,zwe,0,3895632,0
Fruits,5,ben,0,3082317,0
Fruits,5,bfa,0,337544,0
Fruits,5,caf,0,3162128,0
Fruits,5,cmr,0,20149427,0
Fruits,5,cog,0,2274445,0
Fruits,5,cpv,0,230705,0
Fruits,5,gab,0,248087,0
Fruits,5,gha,0,10501817,0
Fruits,5,gin,0,7987035,0
Fruits,5,gmb,0,15533,0
Fruits,5,gnb,0,429046,0
Fruits,5,gnq,0,417178,0
Fruits,5,lbr,0,2371121,0
Fruits,5,mli,0,11805493,0
Fruits,5,mrt,0,430173,0
Fruits,5,ner,0,1733622,0
Fruits,5,nga,0,43528445,0
Fruits,5,sen,0,6893242,0
Fruits,5,sle,0,237517,0
Fruits,5,stp,0,504069,0
Fruits,5,tcd,0,809587,0
Fruits,5,tgo,0,636372,0
Fruits,6,aus,0,58346717,0
Fruits,6,nzl,0,18886388,0
Fruits,7,bra,0,673090071,0
Fruits,8,can,0,13402147,0
Fruits,9,bhs,0,569811,0
Fruits,9,blz,0,6073755,0
Fruits,9,bmu,0,5657,0
Fruits,9,brb,0,44799,0
Fruits,9,cri,0,70453269,0
Fruits,9,cub,0,23176414,0
Fruits,9,cym,0,4896,0
Fruits,9,dma,0,958366,0
Fruits,9,dom,0,24843412,0
Fruits,9,glp,0,1751369,0
Fruits,9,grd,0,211650,0
Fruits,9,gtm,0,43827638,0
Fruits,9,hnd,0,21111673,0
Fruits,9,hti,0,11930991,0
Fruits,9,jam,0,6797637,0
Fruits,9,kna,0,31654,0
Fruits,9,lca,0,1278719,0
Fruits,9,msr,0,5746,0
Fruits,9,mtq,0,4757788,0
Fruits,9,nic,0,3331013,0
Fruits,9,pan,0,12573616,0
Fruits,9,slv,0,4692877,0
Fruits,9,tto,0,435439,0
Fruits,9,vct,0,1012550,0
Fruits,10,arm,0,8223204,0
Fruits,10,aze,0,14017033,0
Fruits,10,geo,0,7931348,0
Fruits,10,kaz,0,12130741,0
Fruits,10,kgz,0,4602420,0
Fruits,10,tjk,0,8386834,0
Fruits,10,tkm,0,10457471,0
Fruits,10,uzb,0,42003798,0
Fruits,11,chn,0,2282791978,0
Fruits,12,bgr,0,14255155,0
Fruits,12,cyp,0,4199782,0
Fruits,12,cze,0,12975800,0
Fruits,12,est,0,269150,0
Fruits,12,hun,0,26407405,0
Fruits,12,ltu,0,1930400,0
Fruits,12,lva,0,807266,0
Fruits,12,mlt,0,204589,0
Fruits,12,pol,0,50254291,0
Fruits,12,rom,0,49932753,0
Fruits,12,svk,0,2824291,0
Fruits,12,svn,0,4562040,0
Fruits,13,aut,0,18896763,0
Fruits,13,bel,0,15915546,0
Fruits,13,deu,0,47282567,0
Fruits,13,dnk,0,956478,0
Fruits,13,esp,0,250760772,0
Fruits,13,fin,0,326521,0
Fruits,13,fra,0,182469302,0
Fruits,13,gbr,0,6449600,0
Fruits,13,grc,0,75686874,0
Fruits,13,irl,0,535760,0
Fruits,13,ita,0,305618467,0
Fruits,13,lux,0,327383,0
Fruits,13,nld,0,12108744,0
Fruits,13,prt,0,31161021,0
Fruits,13,swe,0,693023,0
Fruits,14,blr,0,7459180,0
Fruits,14,ukr,0,39296600,0
Fruits,15,alb,0,7544207,0
Fruits,15,bih,0,3927470,0
Fruits,15,hrv,0,8528167,0
Fruits,15,mne,0,754542,0
Fruits,15,scg,0,17622017,0
Fruits,15,srb,0,11713578,0
Fruits,15,tur,0,266286833,0
Fruits,16,che,0,9541073,0
Fruits,16,nor,0,526146,0
Fruits,17,ind,0,850973649,0
Fruits,18,idn,0,214178289,0
Fruits,19,jpn,0,51187308,0
Fruits,20,mex,0,260680200,0
Fruits,21,are,0,11593296,0
Fruits,21,bhr,0,305673,0
Fruits,21,irq,0,31369614,0
Fruits,21,isr,0,25249325,0
Fruits,21,jor,0,5547171,0
Fruits,21,kwt,0,384217,0
Fruits,21,lbn,0,16726102,0
Fruits,21,omn,0,5839101,0
Fruits,21,qat,0,349853,0
Fruits,21,sau,0,24251601,0
Fruits,21,syr,0,36811211,0
Fruits,21,yem,0,15142916,0
Fruits,22,pak,0,94905790,0
Fruits,23,rus,0,137550162,0
Fruits,24,zaf,0,94211748,0
Fruits,25,guf,0,243989,0
Fruits,25,guy,0,648388,0
Fruits,25,sur,0,1347292,0
Fruits,26,chl,0,86065120,0
Fruits,26,ecu,0,125073327,0
Fruits,26,per,0,34116392,0
Fruits,26,pry,0,10991788,0
Fruits,26,ury,0,7913801,0
Fruits,27,afg,0,13525665,0
Fruits,27,bgd,0,37991829,0
Fruits,27,btn,0,1037400,0
Fruits,27,lka,0,2871929,0
Fruits,27,mdv,0,110018,0
Fruits,27,npl,0,7002549,0
Fruits,29,asm,0,17486,0
Fruits,29,brn,0,37759,0
Fruits,29,cok,0,45132,0
Fruits,29,fji,0,213824,0
Fruits,29,gum,0,5166,0
Fruits,29,khm,0,4892720,0
Fruits,29,kir,0,114818,0
Fruits,29,lao,0,3830290,0
Fruits,29,mmr,0,8260,0
Fruits,29,mys,0,21695619,0
Fruits,29,ncl,0,31303,0
Fruits,29,niu,0,5956,0
Fruits,29,nru,0,6200,0
Fruits,29,phl,0,226719345,0
Fruits,29,png,0,18222396,0
Fruits,29,pyf,0,141234,0
Fruits,29,slb,0,20742,0
Fruits,29,syc,0,42271,0
Fruits,29,tha,0,167377159,0
Fruits,29,tkl,0,295,0
Fruits,29,ton,0,114219,0
Fruits,29,tuv,0,7710,0
Fruits,29,vnm,0,56942061,0
Fruits,29,vut,0,269739,0
Fruits,29,wsm,0,760259,0
Fruits,31,arg,0,130919561,0
Fruits,32,col,0,64722183,0
Fruits,NA,NA,0,452372189,0
Legumes,1,pri,19541.748804461928,7273,2.6868897022496805
Legumes,1,usa,31248388.08262397,33009358,0.9466524033161738
Legumes,2,bdi,6423900.751870697,4780507,1.3437697616321234
Legumes,2,com,492927.29036140785,186064,2.649235157587754
Legumes,2,dji,61572.399148474455,33824,1.8203760391578303
Legumes,2,eri,1256842.1259721376,622509,2.0189943052584582
Legumes,2,eth,10821341.19693657,24699714,0.43811605255577335
Legumes,2,ken,10094294.675680654,10304575,0.9795934985849154
Legumes,2,mdg,1919155.0191196199,1891633,1.0145493439370215
Legumes,2,rwa,7671583.423343972,4735449,1.6200329521749621
Legumes,2,som,569471.5726243631,319894,1.7801883518426826
Legumes,2,uga,10349571.26580499,10956336,0.9446197401946225
Legumes,3,dza,831595.0586661258,524687,1.5849355113927461
Legumes,3,egy,1296193.7631682837,1484592,0.8730976343455197
Legumes,3,mar,1837037.5153145771,2091521,0.8783261154511847
Legumes,3,tun,768455.4589102322,641711,1.1975101859095951
Legumes,4,ago,4892614.732150503,2118755,2.3091932442167704
Legumes,4,bwa,792179.2034573745,218652,3.6230137545386025
Legumes,4,lso,225862.85926641664,159975,1.4118634740829294
Legumes,4,moz,7958378.9366270425,3217858,2.4731914635844845
Legumes,4,mwi,4725349.869620635,6202630,0.7618300413889971
Legumes,4,nam,793341.1965431669,264907,2.99479136656701
Legumes,4,swz,64954.58721294043,69704,0.9318631242531337
Legumes,4,zmb,1153218.1306307158,394631,2.922269488790074
Legumes,4,zwe,1126004.534386174,765685,1.4705845542046325
Legumes,5,ben,2650857.9672546005,2232431,1.1874310862260022
Legumes,5,bfa,18078469.364452865,7758729,2.3300813012611816
Legumes,5,caf,1342470.2546372511,506356,2.6512379721722485
Legumes,5,cmr,6725975.391739327,6064398,1.1090920140365668
Legumes,5,cog,205579.7160743352,158725,1.295194305083227
Legumes,5,cpv,279001.0359356662,69015,4.042614445202727
Legumes,5,gab,11102.435325648416,5205,2.133032723467515
Legumes,5,gha,3323917.558129771,538624,6.17112783338613
Legumes,5,gin,2970427.6900453083,1018905,2.9153136848335306
Legumes,5,gmb,143617.25244679875,54557,2.6324257647377745
Legumes,5,gnb,125624.12262481381,47444,2.647840035090081
Legumes,5,lbr,163510.77754306604,57445,2.8463883287155722
Legumes,5,mli,4769124.951513492,2192658,2.175042779819512
Legumes,5,mrt,560201.1493730107,809653,0.6919027649783435
Legumes,5,ner,49409592.55690268,14081950,3.508718079307388
Legumes,5,nga,128229059.03586553,47069154,2.7242694660682774
Legumes,5,sen,3287779.7492188187,897333,3.66394610386425
Legumes,5,sle,2913156.5282678585,1047346,2.7814652734319494
Legumes,5,tcd,1655279.5361846136,1921155,0.8616064483004305
Legumes,5,tgo,1713358.3047279543,1135422,1.5090057306692617
Legumes,6,aus,43141065.54820243,34606702,1.2466101377762733
Legumes,6,nzl,2049563.0625796902,729902,2.807997597731874
Legumes,7,bra,90858689.91299759,54155385,1.6777406330505746
Legumes,8,can,102716824.93028899,66884300,1.5357389541385496
Legumes,9,bhs,6959.577614616232,2256,3.084919155414996
Legumes,9,blz,149150.45476106586,138956,1.0733646244931192
Legumes,9,brb,40173.30588566489,21402,1.8770818561660074
Legumes,9,cri,531333.6987760523,257144,2.0662885339578305
Legumes,9,cub,3192843.447057211,1601227,1.9939980071889938
Legumes,9,dma,4243.528174874601,1462,2.9025500512138174
Legumes,9,dom,997311.2228609863,921874,1.081830296614273
Legumes,9,glp,3214.7633451851852,1125,2.857567417942387
Legumes,9,grd,25796.912084664385,12110,2.130215696504078
Legumes,9,gtm,3815526.3113257913,2686862,1.4200678379930907
Legumes,9,hnd,2188259.475240049,1277832,1.7124782250249242
Legumes,9,hti,1888057.8987629262,1598823,1.1809048898864516
Legumes,9,jam,70117.6800123203,53489,1.310880368156449
Legumes,9,kna,10562.067894621967,3818,2.766387609906225
Legumes,9,lca,2477.312951680672,952,2.6022194870595294
Legumes,9,mtq,53315.916849560206,16485,3.234207876831071
Legumes,9,nic,5480974.855800986,2929141,1.87118846644835
Legumes,9,pan,135130.41976775965,168683,0.8010909206485517
Legumes,9,slv,2364126.8584730104,1330704,1.776598596286635
Legumes,9,tto,78932.56206023404,40731,1.9378989482270024
Legumes,9,vct,24968.876994518014,9364,2.666475544053611
Legumes,10,arm,127726.68256295267,79941,1.597761881424459
Legumes,10,aze,292902.3999490904,284793,1.0284747165453167
Legumes,10,geo,362373.24894431076,205950,1.7595205095620818
Legumes,10,kaz,2141324.5301391277,799395,2.678681415494377
Legumes,10,kgz,1525375.2048747928,697013,2.188445846597973
Legumes,10,mng,60915.872943086986,23246,2.620488382650219
Legumes,10,tjk,750260.673508961,437096,1.7164665737251337
Legumes,10,tkm,522145.90369178815,184928,2.823509169470216
Legumes,10,uzb,641473.2096382623,185770,3.45305059825732
Legumes,11,chn,47704830.699680515,53780438,0.8870294195015763
Legumes,12,bgr,437486.3336462921,409454,1.068462717780977
Legumes,12,cyp,8390.428337651525,10376,0.8086380433357291
Legumes,12,cze,3860198.731460264,2956824,1.3055219828641353
Legumes,12,est,433015.5022517175,147455,2.936594230454834
Legumes,12,hun,3978635.630600255,1284066,3.0984666135543306
Legumes,12,ltu,1534597.7045042643,1125600,1.363359723262495
Legumes,12,lva,161805.89554432165,85060,1.9022560021669603
Legumes,12,mlt,12205.998149740335,6932,1.7608191214282076
Legumes,12,pol,5679900.716367683,4953401,1.1466668489725915
Legumes,12,rom,1492457.1000721331,1236069,1.2074221585300926
Legumes,12,svk,2414561.6362386113,724522,3.3326270785961105
Legumes,12,svn,179680.23465204352,63689,2.821212998352047
Legumes,13,aut,5277807.243432216,1612103,3.273864786203001
Legumes,13,bel,233631.16847509312,139382,1.6761932564828537
Legumes,13,deu,18469555.647964858,6409431,2.8816217302229883
Legumes,13,dnk,11717068.456696138,2359752,4.965381301380882
Legumes,13,esp,5218514.608388913,4469316,1.1676316036702066
Legumes,13,fin,534098.3856341189,178200,2.9971851045685685
Legumes,13,fra,99874805.55963181,29095101,3.432701799510227
Legumes,13,gbr,18175176.106332332,11115495,1.635120712692717
Legumes,13,grc,504063.87908939616,532643,0.9463446982113651
Legumes,13,irl,409163.3330894468,305714,1.3383859852327562
Legumes,13,ita,886650.4741647588,956020,0.9274392524892354
Legumes,13,lux,57994.46518582513,17528,3.308675558296733
Legumes,13,nld,263788.0352934124,196839,1.3401207854815986
Legumes,13,prt,261713.38985195255,133672,1.9578774152548968
Legumes,13,swe,3255402.4910091483,1161458,2.8028585545143674
Legumes,14,blr,5429031.948855948,4861845,1.1166608455958484
Legumes,14,ukr,32478976.79353123,11955630,2.7166261245564836
Legumes,15,alb,693928.7023237947,425186,1.632059151345046
